sku,qty,price,group_price:Lista 2,group_price:Lista 3,group_price:Lista 4,group_price:Lista 5,group_price:Lista 6,group_price:Lista 7,use_config_backorders,status
20822106,2.00,533.29,533.29,0.00,0.00,0.00,0.00,0.00,1,1
215102000,1.00,504.00,544.90,0.00,0.00,0.00,0.00,0.00,1,1
541-215SC-4,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
D60000,0.00,884.56,884.56,0.00,0.00,0.00,0.00,0.00,1,1
20241748,1.00,3151.20,3151.20,0.00,0.00,0.00,0.00,0.00,1,1
11101605,0.00,37.69,37.69,0.00,0.00,0.00,0.00,0.00,1,1
GM10,0.00,431.77,466.72,0.00,0.00,0.00,0.00,0.00,1,1
PRO-206,7.00,113.10,113.10,0.00,0.00,0.00,0.00,0.00,1,1
12433,0.00,200.99,205.04,0.00,0.00,0.00,0.00,0.00,1,1
6388-2160,1.00,37.20,37.20,0.00,0.00,0.00,0.00,0.00,1,1
H35120-ZOT-85,0.00,184.60,199.50,0.00,0.00,0.00,0.00,0.00,1,1
800-247,1.00,2784.80,2784.80,0.00,0.00,0.00,0.00,0.00,1,1
333811,0.00,415.48,415.48,0.00,0.00,0.00,0.00,0.00,1,1
817-003,0.00,465.60,465.60,0.00,0.00,0.00,0.00,0.00,1,1
541-136,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
JGS-72-K10,0.00,406.76,431.18,0.00,0.00,0.00,0.00,0.00,1,1
310-150,0.00,5637.30,5637.30,0.00,0.00,0.00,0.00,0.00,1,1
442-956,4.00,1901.80,1901.80,0.00,0.00,0.00,0.00,0.00,1,1
11096470,0.00,193228.00,193228.00,0.00,0.00,0.00,0.00,0.00,1,1
47050654,5.00,1128.19,1219.58,0.00,0.00,0.00,0.00,0.00,1,1
773-151,2.00,1972.70,1972.70,0.00,0.00,0.00,0.00,0.00,1,1
931160,0.00,819.96,819.96,0.00,0.00,0.00,0.00,0.00,1,1
90270500,6.00,136.40,147.50,0.00,0.00,0.00,0.00,0.00,1,1
800-223,0.00,14261.80,14261.80,0.00,0.00,0.00,0.00,0.00,1,1
20241914,15.00,166.00,166.00,0.00,0.00,0.00,0.00,0.00,1,1
GB601,0.00,660.00,660.00,0.00,0.00,0.00,0.00,0.00,1,1
04651,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,1,1
S-106877,3.00,1472.70,1472.70,0.00,0.00,0.00,0.00,0.00,1,1
704-301A,1.00,5497.90,5497.90,0.00,0.00,0.00,0.00,0.00,1,1
11763,0.00,190.42,194.24,0.00,0.00,0.00,0.00,0.00,1,1
CNA121,0.00,58.08,58.08,0.00,0.00,0.00,0.00,0.00,1,1
800-265,1.00,1573.40,1573.40,0.00,0.00,0.00,0.00,0.00,1,1
09910,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,1,1
765-3010,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
DGB-24,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,1,1
541-539,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
23756,0.00,10070.90,10273.40,0.00,0.00,0.00,0.00,0.00,1,1
SH-4-0307,0.00,594.70,594.70,0.00,0.00,0.00,0.00,0.00,1,1
11381-ZH8-801,1.00,69.70,75.30,0.00,0.00,0.00,0.00,0.00,1,1
20270619,227.60,134.80,134.80,0.00,0.00,0.00,0.00,0.00,1,1
22529,2.00,455.72,464.83,0.00,0.00,0.00,0.00,0.00,1,1
S-103083X,4.00,536.80,536.80,0.00,0.00,0.00,0.00,0.00,1,1
70-120120,0.00,136.86,136.86,0.00,0.00,0.00,0.00,0.00,1,1
98021660,0.00,98.50,123.10,0.00,0.00,0.00,0.00,0.00,1,1
S-140804A,1.00,22.92,22.92,0.00,0.00,0.00,0.00,0.00,1,1
550-540,0.00,3549.90,3549.90,0.00,0.00,0.00,0.00,0.00,1,1
02034,0.00,592.41,604.32,0.00,0.00,0.00,0.00,0.00,1,1
23064,0.00,15303.80,15611.50,0.00,0.00,0.00,0.00,0.00,1,1
90262000,18.00,110.90,119.80,0.00,0.00,0.00,0.00,0.00,1,1
16013-Z6L-003,0.00,392.50,424.30,0.00,0.00,0.00,0.00,0.00,1,1
NNR114X2,0.00,16.30,17.70,0.00,0.00,0.00,0.00,0.00,1,1
16610-ZE1-000,3.00,85.30,92.20,0.00,0.00,0.00,0.00,0.00,1,1
90209,1.00,4838.00,4935.30,0.00,0.00,0.00,0.00,0.00,1,1
S-102208,0.00,16828.40,16828.40,0.00,0.00,0.00,0.00,0.00,1,1
770-144,5.00,42.10,42.10,0.00,0.00,0.00,0.00,0.00,1,1
S-104637,3.00,121.80,121.80,0.00,0.00,0.00,0.00,0.00,1,1
KB-4006,0.00,1897.30,2011.20,0.00,0.00,0.00,0.00,0.00,1,1
S-103112X,0.00,0.27,0.27,0.00,0.00,0.00,0.00,0.00,1,1
765-3000-P,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
21477,0.00,17179.70,17525.20,0.00,0.00,0.00,0.00,0.00,1,1
920-007,0.00,557.86,557.86,0.00,0.00,0.00,0.00,0.00,1,1
FLG-694-115,0.00,1.40,1.80,0.00,0.00,0.00,0.00,0.00,1,1
703592,5.00,13910.60,14745.60,0.00,0.00,0.00,0.00,0.00,1,1
98027730,0.00,2.80,3.50,0.00,0.00,0.00,0.00,0.00,1,1
GAS1680,2.00,33117.00,33117.00,0.00,0.00,0.00,0.00,0.00,1,1
PP05,0.00,576.30,622.90,0.00,0.00,0.00,0.00,0.00,1,1
424-841,0.00,3000.00,3000.00,0.00,0.00,0.00,0.00,0.00,1,1
TE-1364,0.00,2724.80,2888.30,0.00,0.00,0.00,0.00,0.00,1,1
S-140556,8.00,110.90,110.90,0.00,0.00,0.00,0.00,0.00,1,1
170807310080,0.00,29.50,31.90,0.00,0.00,0.00,0.00,0.00,1,1
16561-ZE1-020,17.00,40.20,43.40,0.00,0.00,0.00,0.00,0.00,1,1
S-103029X,2.00,1328.45,1328.45,0.00,0.00,0.00,0.00,0.00,1,1
22510,1.00,4393.70,4482.00,0.00,0.00,0.00,0.00,0.00,1,1
773-727,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
818-014,0.00,733.05,733.05,0.00,0.00,0.00,0.00,0.00,1,1
331276110330,0.00,35.80,51.50,0.00,0.00,0.00,0.00,0.00,1,1
BAL-6,2.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,1,1
21561,5.00,44.43,45.32,0.00,0.00,0.00,0.00,0.00,1,1
11736,0.00,211.60,215.80,0.00,0.00,0.00,0.00,0.00,1,1
07655,0.00,241.90,246.76,0.00,0.00,0.00,0.00,0.00,1,1
641-325,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
541-529,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
860-936,0.00,359.00,359.00,0.00,0.00,0.00,0.00,0.00,1,1
PRO-10921,10.00,17.40,17.40,0.00,0.00,0.00,0.00,0.00,1,1
449-126,0.00,187.80,187.80,0.00,0.00,0.00,0.00,0.00,1,1
K-66350,0.00,9587.60,9587.60,0.00,0.00,0.00,0.00,0.00,1,1
20821922,5.00,256.00,256.00,0.00,0.00,0.00,0.00,0.00,1,1
641-313,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
721-223,0.00,552.10,552.10,0.00,0.00,0.00,0.00,0.00,1,1
662-513,0.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
779-149,2.00,125.70,125.70,0.00,0.00,0.00,0.00,0.00,1,1
12005,1.00,2200.40,2244.60,0.00,0.00,0.00,0.00,0.00,1,1
19261,0.00,3716.64,3791.37,0.00,0.00,0.00,0.00,0.00,1,1
PRO-401,0.00,32.60,32.60,0.00,0.00,0.00,0.00,0.00,1,1
641-623,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
25052,0.00,380250.00,387895.70,0.00,0.00,0.00,0.00,0.00,1,1
HAF-6,0.00,647.30,686.16,0.00,0.00,0.00,0.00,0.00,1,1
PRO-403,0.00,113.10,113.10,0.00,0.00,0.00,0.00,0.00,1,1
1210009300,7.00,51.16,55.30,0.00,0.00,0.00,0.00,0.00,1,1
15600-Z0T-820,1.00,17.80,19.30,0.00,0.00,0.00,0.00,0.00,1,1
W-0259390,4.00,503.60,513.60,0.00,0.00,0.00,0.00,0.00,1,1
20241957,15.00,552.81,552.81,0.00,0.00,0.00,0.00,0.00,1,1
759-011,5.00,840.40,840.40,0.00,0.00,0.00,0.00,0.00,1,1
S-84401,9.00,506.80,506.80,0.00,0.00,0.00,0.00,0.00,1,1
QS-147,4.00,356.80,378.20,0.00,0.00,0.00,0.00,0.00,1,1
750-020,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
PRO-4161,0.00,338.50,338.50,0.00,0.00,0.00,0.00,0.00,1,1
H14751-ZF1-00,0.00,52.10,56.40,0.00,0.00,0.00,0.00,0.00,1,1
770-112,8.00,342.70,342.70,0.00,0.00,0.00,0.00,0.00,1,1
K-94500,1.00,3254.70,3254.70,0.00,0.00,0.00,0.00,0.00,1,1
20242142,5.00,403.90,403.90,0.00,0.00,0.00,0.00,0.00,1,1
W-0292018,0.00,76233.90,77755.60,0.00,0.00,0.00,0.00,0.00,1,1
15-018,0.00,375.10,375.10,0.00,0.00,0.00,0.00,0.00,1,1
